"","actor_id","target_case","case","case_code","ascribed_power_norm","ascribed_power","bet","bet_norm","triangle_count_pos_norm","triangle_count_norm","triangle_count","triangle_count_pos","ego_inclusion","deg","deg_pos","deg_norm","type","type_reduced","all_na","achievement","top_target","bet_log","triangle_count_log","deg_log","ascribed_power_log","bet_zero","triangle_count_zero","ascribed_power_zero"
"1","actor 1","Hochwasserschutz_AA","Alte Aare","AA",1,0,0.8,1.24621334052202,1,2.47761194029851,2,0,2,0,0,1,"Other","Other","no",3,"Hochwasserschutz",0.220109626031382,0.907295168965577,-Inf,0,"abovezero","abovezero","zero"
"2","actor 2","Hochwasserschutz_AA","Alte Aare","AA",34,7,259.784053527424,80.9528745416726,78,62.3208955223881,83,35,4,35,35,78,"Other","Other","no",3,"Hochwasserschutz",4.39386718958178,4.13229677120232,3.55534806148941,3.52636052461616,"abovezero","abovezero","abovezero"
"3","actor 3","Hochwasserschutz_AA","Alte Aare","AA",62.2857142857143,13,13.0296923235004,5.01010509117892,14.2,34.2462686567164,45,6,4,6,6,14.2,"Canton_BE","higher_admin","no",3,"Hochwasserschutz",1.61145689115999,3.53357761444392,1.79175946922805,4.13173209429372,"abovezero","abovezero","abovezero"
"4","actor 4","Profitabilitat_Forstwirtschaft_AA","Alte Aare","AA",15.1428571428571,3,41.9362265185795,13.9065730250344,1,45.3283582089552,60,0,4,0,0,1,"Other","Other","no",NA,"Profitabilitat_Forstwirtschaft",2.63236160786325,3.81393284565478,-Inf,2.71752894505675,"abovezero","abovezero","abovezero"
"5","actor 5","Hochwasserschutz_AA","Alte Aare","AA",29.2857142857143,6,12.9925460160754,4.99867269562997,7.6,6.17164179104478,7,3,3,3,3,7.6,"Municipality","Municipality","no",3,"Hochwasserschutz",1.60917241631912,1.81996489507278,1.09861228866811,3.3770998300831,"abovezero","abovezero","abovezero"
"6","actor 6","Hochwasserschutz_AA","Alte Aare","AA",29.2857142857143,6,58.3383123584362,18.9545884577344,3.2,5.43283582089552,6,1,4,1,1,3.2,"Municipality","Municipality","no",3,"Hochwasserschutz",2.94204603719129,1.69246124824577,0,3.3770998300831,"abovezero","abovezero","abovezero"
"7","actor 7","Hochwasserschutz_AA","Alte Aare","AA",5.71428571428571,1,101.624429165606,32.2766127293838,14.2,17.9925373134328,23,6,NA,6,6,14.2,"Other","Other","yes",NA,"Hochwasserschutz",3.47434290386183,2.88995707823026,1.79175946922805,1.74296930505862,"abovezero","abovezero","abovezero"
"8","actor 8","Hochwasserschutz_AA","Alte Aare","AA",34,7,0,1,7.6,5.43283582089552,6,3,4,3,3,7.6,"Municipality","Municipality","no",3,"Hochwasserschutz",0,1.69246124824577,1.09861228866811,3.52636052461616,"zero","abovezero","abovezero"
"9","actor 9","Hochwasserschutz_AA","Alte Aare","AA",29.2857142857143,6,0,1,7.6,8.38805970149254,10,3,4,3,3,7.6,"Municipality","Municipality","no",3,"Hochwasserschutz",0,2.12680923050273,1.09861228866811,3.3770998300831,"zero","abovezero","abovezero"
"10","actor 10","Erholungswert_AA","Alte Aare","AA",34,7,14.1752747252747,5.36267717865904,3.2,11.3432835820896,14,1,3,1,1,3.2,"Municipality","Municipality","no",2,"Erholungswert",1.67946332401769,2.42862581388941,0,3.52636052461616,"abovezero","abovezero","abovezero"
"11","actor 11","Biodiversitat_AA","Alte Aare","AA",29.2857142857143,6,0,1,5.4,8.38805970149254,10,2,1,2,2,5.4,"Other","Other","no",3,"Biodiversitat",0,2.12680923050273,0.693147180559945,3.3770998300831,"zero","abovezero","abovezero"
"12","actor 12","Hochwasserschutz_AA","Alte Aare","AA",5.71428571428571,1,0.25,1.07694166891313,3.2,1.73880597014925,1,1,NA,1,1,3.2,"Other","Other","no",3,"Hochwasserschutz",0.0741252359954652,0.553198653614789,0,1.74296930505862,"abovezero","abovezero","abovezero"
"13","actor 13","Profitabilitat_Forstwirtschaft_AA","Alte Aare","AA",19.8571428571429,4,23.5099511599512,8.23557951325136,1,4.69402985074627,5,0,4,0,0,1,"Municipality","Municipality","no",3,"Profitabilitat_Forstwirtschaft",2.10846373313313,1.54629145674953,-Inf,2.98856378407538,"abovezero","abovezero","abovezero"
"14","actor 14","Hochwasserschutz_AA","Alte Aare","AA",43.4285714285714,9,13.2502717440798,5.077992086168,12,32.0298507462687,42,5,4,5,5,12,"Municipality","Municipality","no",3,"Hochwasserschutz",1.62491592482676,3.46666830379968,1.6094379124341,3.77111755235091,"abovezero","abovezero","abovezero"
"15","actor 15","Profitabilitat_Forstwirtschaft_AA","Alte Aare","AA",1,0,12.6579365079365,4.89569103966833,1,3.95522388059702,4,0,2,0,0,1,"NGO_organization_association","NGO_organization_association","no",NA,"Profitabilitat_Forstwirtschaft",1.58835543857594,1.37503720659526,-Inf,0,"abovezero","abovezero","zero"
"16","actor 16","Hochwasserschutz_AA","Alte Aare","AA",34,7,0.48859649122807,1.15037371784075,7.6,7.64925373134328,9,3,NA,3,3,7.6,"Municipality","Municipality","no",NA,"Hochwasserschutz",0.140086861618619,2.0346080916216,1.09861228866811,3.52636052461616,"abovezero","abovezero","abovezero"
"17","actor 17","Hochwasserschutz_AA","Alte Aare","AA",10.4285714285714,2,24.3372682872683,8.49020015523615,38.4,25.3805970149254,33,17,3,17,17,38.4,"Other","Other","no",3,"Hochwasserschutz",2.13891257545598,3.23398498505628,2.83321334405622,2.34454929209308,"abovezero","abovezero","abovezero"
"18","actor 18","Biodiversitat_AA","Alte Aare","AA",34,7,26.9995337995338,9.30955676165046,7.6,39.4179104477612,52,3,3,3,3,7.6,"Municipality","Municipality","no",3,"Biodiversitat",2.23104148131036,3.67422029290617,1.09861228866811,3.52636052461616,"abovezero","abovezero","abovezero"
"19","actor 19","Hochwasserschutz_AA","Alte Aare","AA",1,0,1.18181818181818,1.36372425304389,1,15.7761194029851,20,0,3,0,0,1,"Municipality","Municipality","no",2,"Hochwasserschutz",0.310219378459071,2.75849736647927,-Inf,0,"abovezero","abovezero","zero"
"20","actor 20","Hochwasserschutz_AA","Alte Aare","AA",5.71428571428571,1,0,1,1,1,0,0,3,0,0,1,"Other","Other","yes",3,"Hochwasserschutz",0,0,-Inf,1.74296930505862,"zero","zero","abovezero"
"21","actor 21","Hochwasserschutz_AA","Alte Aare","AA",38.7142857142857,8,13.4210400710401,5.13054888646331,7.6,8.38805970149254,10,3,4,3,3,7.6,"Municipality","Municipality","no",3,"Hochwasserschutz",1.63521264887103,2.12680923050273,1.09861228866811,3.65620867182439,"abovezero","abovezero","abovezero"
"22","actor 22","Hochwasserschutz_AA","Alte Aare","AA",10.4285714285714,2,12.555772005772,4.86424821046747,3.2,23.1641791044776,30,1,3,1,1,3.2,"Municipality","Municipality","no",3,"Hochwasserschutz",1.58191217347443,3.1426070813522,0,2.34454929209308,"abovezero","abovezero","abovezero"
"23","actor 23","Hochwasserschutz_AA","Alte Aare","AA",1,0,10.4882839382839,4.2279442809854,1,11.3432835820896,14,0,2,0,0,1,"Other","Other","no",3,"Hochwasserschutz",1.44171588934627,2.42862581388941,-Inf,0,"abovezero","abovezero","zero"
"24","actor 24","Profitabilitat_Forstwirtschaft_AA","Alte Aare","AA",5.71428571428571,1,35.5973748473748,11.9556857187333,1,31.2910447761194,41,0,3,0,0,1,"Other","Other","no",NA,"Profitabilitat_Forstwirtschaft",2.48120695758684,3.44333194721985,-Inf,1.74296930505862,"abovezero","abovezero","abovezero"
"25","actor 25","Erholungswert_AA","Alte Aare","AA",15.1428571428571,3,0,1,1,3.95522388059702,4,0,2,0,0,1,"Other","Other","no",3,"Erholungswert",0,1.37503720659526,-Inf,2.71752894505675,"zero","abovezero","abovezero"
"26","actor 26","Profitabilitat_Forstwirtschaft_AA","Alte Aare","AA",10.4285714285714,2,0.311111111111111,1.09574963242523,9.8,4.69402985074627,5,4,3,4,4,9.8,"Municipality","Municipality","no",3,"Profitabilitat_Forstwirtschaft",0.0914387248617671,1.54629145674953,1.38629436111989,2.34454929209308,"abovezero","abovezero","abovezero"
